i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
165,1736070964039862000,1736070964051432000,1736070964088909000,1736070964100415000,1736070971958469000,1736070971961729000,7921,37,7858
167,1736070964042740000,1736070964054095000,1736070964098929000,1736070964110332000,1736070973032014000,1736070973035016000,8992,44,8921
170,1736070974056850000,1736070974076407000,1736070974102430000,1736070974108992000,1736070976101742000,1736070976105213000,2048,26,1992
177,1736070974075275000,1736070974086241000,1736070974106473000,1736070974115105000,1736070976961180000,1736070976964329000,2889,20,2846
174,1736070974059533000,1736070974076600000,1736070974108445000,1736070974116269000,1736070977119630000,1736070977122964000,3063,31,3003
173,1736070974057572000,1736070974076758000,1736070974107260000,1736070974115112000,1736070978093782000,1736070978097200000,4039,30,3978
171,1736070974056610000,1736070974075798000,1736070974108804000,1736070974115106000,1736070979063601000,1736070979068025000,5011,33,4948
175,1736070974063586000,1736070974076657000,1736070974109576000,1736070974117758000,1736070980015673000,1736070980020515000,5956,32,5897
178,1736070974076374000,1736070974086256000,1736070974119078000,1736070974127702000,1736070980016066000,1736070980020570000,5944,32,5888
179,1736070974075271000,1736070974085870000,1736070974119076000,1736070974126605000,1736070981104033000,1736070981107740000,7032,33,6977
172,1736070974056885000,1736070974077650000,1736070974108679000,1736070974116547000,1736070982037197000,1736070982040787000,7983,31,7920
176,1736070974077066000,1736070974087140000,1736070974118787000,1736070974127702000,1736070983096770000,1736070983099806000,9022,31,8969
181,1736070984092836000,1736070984112288000,1736070984139843000,1736070984150246000,1736070986142840000,1736070986148833000,2055,27,1992
186,1736070984103394000,1736070984113118000,1736070984150001000,1736070984160119000,1736070987184625000,1736070987188055000,3084,36,3024
183,1736070984092377000,1736070984112435000,1736070984145929000,1736070984152637000,1736070987186783000,1736070987190195000,3097,33,3034
188,1736070984112424000,1736070984123033000,1736070984149131000,1736070984160267000,1736070988168611000,1736070988171865000,4059,26,4008
182,1736070984092218000,1736070984111116000,1736070984149982000,1736070984160774000,1736070989151766000,1736070989155540000,5063,38,4990
184,1736070984092806000,1736070984110875000,1736070984148749000,1736070984160470000,1736070990104255000,1736070990107894000,6015,37,5943
189,1736070984110798000,1736070984121450000,1736070984148731000,1736070984160118000,1736070990104257000,1736070990107901000,5997,27,5944
185,1736070984103325000,1736070984113867000,1736070984146279000,1736070984160104000,1736070991172636000,1736070991175910000,7072,32,7012
187,1736070984112350000,1736070984122195000,1736070984145747000,1736070984156252000,1736070992095202000,1736070992099439000,7987,23,7938
180,1736070984091943000,1736070984112730000,1736070984149311000,1736070984160428000,1736070993152199000,1736070993155610000,9063,36,8991
191,1736070994123716000,1736070994141424000,1736070994171652000,1736070994177728000,1736070996165995000,1736070996169561000,2045,30,1988
196,1736070994138045000,1736070994145838000,1736070994175635000,1736070994188869000,1736070997211568000,1736070997214859000,3076,29,3022
198,1736070994137602000,1736070994145625000,1736070994175594000,1736070994181508000,1736070997214117000,1736070997217107000,3079,29,3032
193,1736070994124329000,1736070994144391000,1736070994190031000,1736070994199173000,1736070998215597000,1736070998219403000,4095,45,4016
190,1736070994123789000,1736070994143965000,1736070994185574000,1736070994192221000,1736070999204542000,1736070999208040000,5084,41,5012
195,1736070994131865000,1736070994144083000,1736070994190060000,1736070994200025000,1736071000316712000,1736071000320075000,6188,45,6116
199,1736070994142412000,1736070994153523000,1736070994189087000,1736070994199994000,1736071000316712000,1736071000320092000,6177,35,6116
197,1736070994144750000,1736070994156456000,1736070994186387000,1736070994198401000,1736071001258441000,1736071001263157000,7118,29,7060
192,1736070994123704000,1736070994144397000,1736070994188869000,1736070994198026000,1736071002204525000,1736071002208584000,8084,44,8006
194,1736070994125995000,1736070994143415000,1736070994188869000,1736070994196865000,1736071003257213000,1736071003260565000,9134,45,9060
204,1736071004172924000,1736071004185638000,1736071004211725000,1736071004219521000,1736071006410995000,1736071006414907000,2241,26,2191
202,1736071004159058000,1736071004177343000,1736071004211724000,1736071004220594000,1736071007277594000,1736071007281332000,3122,34,3057
201,1736071004159122000,1736071004177801000,1736071004212272000,1736071004220921000,1736071007438902000,1736071007441746000,3282,34,3217
203,1736071004161929000,1736071004177024000,1736071004211716000,1736071004219628000,1736071008449839000,1736071008454009000,4292,34,4230
200,1736071004159368000,1736071004177632000,1736071004212862000,1736071004220938000,1736071009416660000,1736071009419778000,5260,35,5195
209,1736071004175806000,1736071004188417000,1736071004229764000,1736071004236366000,1736071010367054000,1736071010371273000,6195,41,6130
207,1736071004176939000,1736071004191503000,1736071004222574000,1736071004232111000,1736071010367054000,1736071010371311000,6194,31,6134
208,1736071004177154000,1736071004188647000,1736071004222038000,1736071004230632000,1736071011300748000,1736071011304340000,7127,33,7070
206,1736071004177219000,1736071004189898000,1736071004221533000,1736071004231300000,1736071012395210000,1736071012398451000,8221,31,8163
205,1736071004176406000,1736071004190385000,1736071004228153000,1736071004233147000,1736071013472884000,1736071013476404000,9299,37,9239
213,1736071014201935000,1736071014219372000,1736071014256029000,1736071014267063000,1736071016441242000,1736071016446829000,2244,36,2174
214,1736071014207908000,1736071014220834000,1736071014256038000,1736071014266318000,1736071016442007000,1736071016446710000,2238,35,2175
212,1736071014201326000,1736071014218806000,1736071014261754000,1736071014268562000,1736071017463368000,1736071017466515000,3265,42,3194
215,1736071014213861000,1736071014222110000,1736071014260067000,1736071014269432000,1736071018466493000,1736071018470156000,4256,37,4197
210,1736071014199357000,1736071014218000000,1736071014267467000,1736071014277332000,1736071019453923000,1736071019457838000,5258,49,5176
216,1736071014208594000,1736071014219823000,1736071014266984000,1736071014277711000,1736071019604421000,1736071019607526000,5398,47,5326
217,1736071014212280000,1736071014221455000,1736071014267237000,1736071014278115000,1736071020520385000,1736071020523769000,6311,45,6242
218,1736071014219225000,1736071014228840000,1736071014264802000,1736071014276246000,1736071021587323000,1736071021591182000,7371,35,7311
211,1736071014199319000,1736071014217552000,1736071014266707000,1736071014278597000,1736071022508863000,1736071022513281000,8313,49,8230
219,1736071014218764000,1736071014229963000,1736071014260077000,1736071014268456000,1736071022508849000,1736071022513281000,8294,30,8240
220,1736071024236912000,1736071024254965000,1736071024279582000,1736071024283902000,1736071026523978000,1736071026527983000,2291,24,2240
222,1736071024237356000,1736071024254463000,1736071024279589000,1736071024283902000,1736071026665892000,1736071026668966000,2431,25,2381
221,1736071024236810000,1736071024250811000,1736071024280956000,1736071024284523000,1736071027656855000,1736071027659799000,3422,30,3372
226,1736071024244510000,1736071024259965000,1736071024287618000,1736071024295775000,1736071028676477000,1736071028679832000,4435,27,4380
225,1736071024246601000,1736071024259676000,1736071024292100000,1736071024307803000,1736071029642935000,1736071029646991000,5400,32,5335
224,1736071024244491000,1736071024260510000,1736071024306943000,1736071024319586000,1736071029643095000,1736071029646989000,5402,46,5323
227,1736071024249056000,1736071024261064000,1736071024308071000,1736071024316901000,1736071030563881000,1736071030567065000,6318,47,6246
