i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
149,1736063227133343000,1736063227144427000,1736063227783530000,1736063227790007000,1736063233688156000,1736063233692760000,6559,639,5898
146,1736063227129337000,1736063227144136000,1736063227834278000,1736063227840089000,1736063234637421000,1736063234640723000,7511,690,6797
147,1736063227130553000,1736063227142232000,1736063227862825000,1736063227867268000,1736063235704425000,1736063235708099000,8577,720,7837
150,1736063237154601000,1736063237172464000,1736063237794202000,1736063237801390000,1736063238736549000,1736063238739786000,1585,621,935
151,1736063237154526000,1736063237174256000,1736063237825932000,1736063237831376000,1736063239779006000,1736063239782887000,2628,651,1947
157,1736063237173778000,1736063237186233000,1736063237897260000,1736063237903014000,1736063240722999000,1736063240726400000,3552,711,2819
152,1736063237154530000,1736063237172806000,1736063237824502000,1736063237829862000,1736063240784380000,1736063240788203000,3633,651,2954
153,1736063237161694000,1736063237174516000,1736063237875969000,1736063237883523000,1736063241723083000,1736063241726570000,4564,701,3839
158,1736063237173834000,1736063237187973000,1736063237862604000,1736063237867549000,1736063242691655000,1736063242695769000,5521,674,4824
154,1736063237173037000,1736063237185529000,1736063237852696000,1736063237857647000,1736063243676309000,1736063243679922000,6506,667,5818
156,1736063237174084000,1736063237185665000,1736063237883543000,1736063237888477000,1736063243726997000,1736063243730738000,6556,697,5838
159,1736063237172191000,1736063237186063000,1736063237978281000,1736063237981917000,1736063244725422000,1736063244729214000,7557,792,6743
155,1736063237172904000,1736063237185347000,1736063237971106000,1736063237975241000,1736063245791677000,1736063245795692000,8622,785,7816
169,1736063247210460000,1736063247216622000,1736063247825353000,1736063247830807000,1736063248766732000,1736063248771055000,1560,608,935
164,1736063247195123000,1736063247214387000,1736063247841252000,1736063247849323000,1736063249812727000,1736063249817333000,2622,626,1963
167,1736063247210752000,1736063247217358000,1736063247873584000,1736063247878137000,1736063250842007000,1736063250846435000,3635,656,2963
162,1736063247192801000,1736063247212074000,1736063247926162000,1736063247931417000,1736063250842002000,1736063250846445000,3653,714,2910
168,1736063247212594000,1736063247224983000,1736063247825353000,1736063247831051000,1736063251838385000,1736063251841644000,4629,600,4007
166,1736063247214232000,1736063247227285000,1736063247944611000,1736063247950012000,1736063252780203000,1736063252784802000,5570,717,4830
165,1736063247207980000,1736063247215340000,1736063247950012000,1736063247954253000,1736063253872641000,1736063253876926000,6668,734,5918
161,1736063247192487000,1736063247213844000,1736063247905136000,1736063247912792000,1736063253872425000,1736063253876928000,6684,691,5959
160,1736063247192713000,1736063247214167000,1736063247958708000,1736063247963330000,1736063254812938000,1736063254816425000,7623,744,6849
163,1736063247193670000,1736063247212878000,1736063248004249000,1736063248007583000,1736063255893473000,1736063255897360000,8703,791,7885
171,1736063257224773000,1736063257245538000,1736063257804890000,1736063257813175000,1736063258924708000,1736063258928117000,1703,559,1111
174,1736063257226077000,1736063257243381000,1736063257964420000,1736063257971982000,1736063259890845000,1736063259893757000,2667,721,1918
172,1736063257226162000,1736063257245414000,1736063257859838000,1736063257868558000,1736063260855885000,1736063260859052000,3632,614,2987
176,1736063257245406000,1736063257257791000,1736063257909048000,1736063257913960000,1736063260900315000,1736063260904512000,3659,651,2986
173,1736063257227651000,1736063257245355000,1736063257898091000,1736063257903149000,1736063261895214000,1736063261898582000,4670,652,3992
170,1736063257225016000,1736063257244587000,1736063257879276000,1736063257885738000,1736063262898336000,1736063262902086000,5677,634,5012
